Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect,Random
27,57948,2052,96.580,12,11,23,1,-0.743692786
30,57948,2052,96.580,8,7,15,1,0.308963432
46,57948,2052,96.580,9,8,17,1,0.333916412
48,57948,2052,96.580,14,13,27,1,-0.417723772
49,57948,2052,96.580,3,2,5,1,-0.760747948
66,57948,2052,96.580,8,7,15,1,-0.814018248
68,57948,2052,96.580,1,0,1,1,0.550954058
74,57948,2052,96.580,5,4,9,1,0.516825767
80,57948,2052,96.580,4,3,7,1,0.280285152
109,57948,2052,96.580,8,7,15,1,-0.206952118
110,57948,2052,96.580,12,11,23,1,0.408689913
115,57948,2052,96.580,12,11,23,1,-0.552341396
7,57947,2053,96.578,0,0,0,0,0.316256183
13,57947,2053,96.578,0,0,0,0,-0.618697535
23,57947,2053,96.578,4,4,8,0,-0.077395836
37,57947,2053,96.578,6,6,12,0,-0.263108111
42,57947,2053,96.578,0,0,0,0,0.668285921
45,57947,2053,96.578,10,10,20,0,0.946870736
51,57947,2053,96.578,0,0,0,0,0.83722421
54,57947,2053,96.578,0,0,0,0,0.708025678
57,57947,2053,96.578,0,0,0,0,0.785908876
59,57947,2053,96.578,0,0,0,0,-0.323592789
61,57947,2053,96.578,0,0,0,0,-0.047237031
62,57947,2053,96.578,3,3,6,0,-0.377399106
64,57947,2053,96.578,13,13,26,0,0.55659421
71,57947,2053,96.578,0,0,0,0,-0.735639929
73,57947,2053,96.578,0,0,0,0,0.247040324
76,57947,2053,96.578,15,15,30,0,-0.72073582
78,57947,2053,96.578,5,5,10,0,-0.341218445
88,57947,2053,96.578,0,0,0,0,0.168071969
91,57947,2053,96.578,0,0,0,0,0.352574609
96,57947,2053,96.578,0,0,0,0,-0.700386243
98,57947,2053,96.578,5,5,10,0,0.955782063
99,57947,2053,96.578,2,2,4,0,0.470234448
104,57947,2053,96.578,0,0,0,0,0.446318606
108,57947,2053,96.578,0,0,0,0,-0.266048473
112,57947,2053,96.578,0,0,0,0,0.660844645
113,57947,2053,96.578,0,0,0,0,-0.46069192
121,57947,2053,96.578,0,0,0,0,0.083108727
122,57947,2053,96.578,7,7,14,0,-0.712618009
126,57947,2053,96.578,0,0,0,0,0.589946907
15,57946,2054,96.577,5,6,11,-1,0.966198726
19,57946,2054,96.577,15,16,31,-1,0.181122779
20,57946,2054,96.577,6,7,13,-1,-0.81154005
39,57946,2054,96.577,3,4,7,-1,0.856061066
52,57946,2054,96.577,8,9,17,-1,0.694411399
60,57946,2054,96.577,0,1,1,-1,0.618347513
82,57946,2054,96.577,9,10,19,-1,0.355718461
106,57946,2054,96.577,13,14,27,-1,0.119144175
29,57945,2055,96.575,2,4,6,-2,0.323888768
36,57945,2055,96.575,13,15,28,-2,-0.869331768
63,57945,2055,96.575,9,11,20,-2,0.570388843
92,57945,2055,96.575,4,6,10,-2,-0.322622726
101,57945,2055,96.575,18,20,38,-2,0.358447218
102,57945,2055,96.575,7,9,16,-2,0.809561713
1,57944,2056,96.573,7,10,17,-3,0.282982651
4,57944,2056,96.573,4,7,11,-3,0.696521863
5,57944,2056,96.573,5,8,13,-3,0.801090539
14,57944,2056,96.573,2,5,7,-3,0.563977319
26,57944,2056,96.573,7,10,17,-3,-0.432728641
31,57944,2056,96.573,12,15,27,-3,0.140474337
86,57944,2056,96.573,14,17,31,-3,-0.223671874
41,57943,2057,96.572,6,10,16,-4,0.187698669
50,57943,2057,96.572,3,7,10,-4,0.337807422
90,57942,2058,96.570,7,12,19,-5,0.48188036
107,57942,2058,96.570,14,19,33,-5,-0.800779848
2,57941,2059,96.568,2,8,10,-6,0.13501184
22,57941,2059,96.568,9,15,24,-6,-0.087821447
103,57938,2062,96.563,5,14,19,-9,-0.338729531
128,57937,2063,96.562,11,21,32,-10,-0.089757556
38,57934,2066,96.557,11,24,35,-13,0.705427511
,,,,,,,,
Minimum,57934,2041,96.557,0,0,0,-13,
Maximum,57959,2066,96.598,21,24,38,12,
Average,57948.336,2051.664,96.581,8.391,7.055,15.445,1.336,
,,,,,,,,
Original,57947,2053,96.578,,,,,
