Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect,
71,59393,607,98.988,0,0,0,0,-0.909198663
73,59393,607,98.988,0,0,0,0,-0.670987099
76,59393,607,98.988,0,0,0,0,0.895843879
77,59393,607,98.988,0,0,0,0,-0.465598516
78,59393,607,98.988,0,0,0,0,0.87506536
79,59393,607,98.988,0,0,0,0,-0.167056417
82,59393,607,98.988,0,0,0,0,-0.962317368
87,59393,607,98.988,0,0,0,0,0.887980586
90,59393,607,98.988,0,0,0,0,-0.024657949
91,59393,607,98.988,0,0,0,0,-0.30707867
92,59393,607,98.988,0,0,0,0,0.248361271
93,59393,607,98.988,0,0,0,0,0.708366027
94,59393,607,98.988,0,0,0,0,-0.673890268
95,59393,607,98.988,0,0,0,0,-0.359154064
97,59393,607,98.988,1,1,2,0,0.046363489
99,59393,607,98.988,0,0,0,0,-0.754308494
101,59393,607,98.988,0,0,0,0,-0.488126629
102,59393,607,98.988,0,0,0,0,0.75329587
103,59393,607,98.988,0,0,0,0,-0.742276927
104,59393,607,98.988,0,0,0,0,-0.878455012
105,59393,607,98.988,0,0,0,0,0.223324939
107,59393,607,98.988,1,1,2,0,0.66353392
108,59393,607,98.988,0,0,0,0,-0.433560366
109,59393,607,98.988,0,0,0,0,0.535475433
110,59393,607,98.988,0,0,0,0,0.35421101
111,59393,607,98.988,1,1,2,0,0.686045412
112,59393,607,98.988,0,0,0,0,0.673816504
113,59393,607,98.988,0,0,0,0,0.039410331
115,59393,607,98.988,1,1,2,0,0.784507076
116,59393,607,98.988,0,0,0,0,-0.600492786
119,59393,607,98.988,0,0,0,0,0.654496519
120,59393,607,98.988,0,0,0,0,0.435671332
124,59393,607,98.988,0,0,0,0,0.210796704
126,59393,607,98.988,0,0,0,0,0.882586994
127,59393,607,98.988,0,0,0,0,-0.326990218
128,59393,607,98.988,0,0,0,0,0.889699186
9,59392,608,98.987,0,1,1,-1,0.550368507
13,59392,608,98.987,0,1,1,-1,0.030636463
15,59392,608,98.987,0,1,1,-1,0.384949438
27,59392,608,98.987,0,1,1,-1,-0.341155375
29,59392,608,98.987,0,1,1,-1,0.011699306
30,59392,608,98.987,1,2,3,-1,-0.74790398
33,59392,608,98.987,0,1,1,-1,0.572116445
34,59392,608,98.987,0,1,1,-1,0.356870982
41,59392,608,98.987,0,1,1,-1,0.149941522
43,59392,608,98.987,0,1,1,-1,-0.950956676
53,59392,608,98.987,1,2,3,-1,0.261765517
55,59392,608,98.987,0,1,1,-1,-0.088282481
68,59392,608,98.987,0,1,1,-1,0.699414941
70,59392,608,98.987,0,1,1,-1,-0.754597284
80,59392,608,98.987,0,1,1,-1,-0.384917063
83,59392,608,98.987,0,1,1,-1,0.948414947
89,59392,608,98.987,1,2,3,-1,-0.38422001
117,59392,608,98.987,1,2,3,-1,-0.437456855
121,59392,608,98.987,1,2,3,-1,-0.831384404
123,59392,608,98.987,0,1,1,-1,0.227919451
24,59391,609,98.985,0,2,2,-2,0.549921884
47,59391,609,98.985,0,2,2,-2,-0.388841038
58,59391,609,98.985,0,2,2,-2,-0.120876596
118,59391,609,98.985,1,3,4,-2,-0.115117681
50,59390,610,98.983,1,4,5,-3,0.243069237
,,,,,,,,
Minimum,59390,604,98.983,0,0,0,-3,
Maximum,59396,610,98.993,3,4,5,3,
Average,59393.047,606.953,98.988,0.453,0.406,0.859,0.047,
,,,,,,,,
Original,59393,607,98.988,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
